,season,player_id,player_name,position,team,conference,overall_incl_gt,pass_incl_gt,rush_incl_gt,firstDown_incl_gt,secondDown_incl_gt,thirdDown_incl_gt,standardDowns_incl_gt,passingDowns_incl_gt,overall_excl_gt,pass_excl_gt,rush_excl_gt,firstDown_excl_gt,secondDown_excl_gt,thirdDown_excl_gt,standardDowns_excl_gt,passingDowns_excl_gt,last_updated
0,2019,4055171,Anthony Gordon,QB,Washington State,Pac-12,0.8094,0.9771,0.1933,0.7726,0.832,0.875,0.785,0.887,0.8094,0.9771,0.1933,0.7726,0.832,0.875,0.785,0.887,2019-11-12 22:50:18
1,2019,3675812,Bryce Perkins,QB,Virginia,ACC,0.7919,0.9918,0.5059,0.7527,0.808,0.855,0.753,0.879,0.7919,0.9918,0.5059,0.7527,0.808,0.855,0.753,0.879,2019-11-12 22:50:18
2,2019,4241635,Josh Adkins,QB,New Mexico State,FBS Independents,0.7117,0.9935,0.254,0.6866,0.667,0.843,0.671,0.787,0.7117,0.9935,0.254,0.6866,0.667,0.843,0.671,0.787,2019-11-12 22:50:18
3,2019,4040715,Jalen Hurts,QB,Oklahoma,Big 12,0.6889,0.9903,0.4321,0.5684,0.769,0.913,0.63,0.856,0.6889,0.9903,0.4321,0.5684,0.769,0.913,0.63,0.856,2019-11-12 22:50:18
4,2019,4374350,Asher O'Hara,QB,Middle Tennessee,Conference USA,0.6864,0.9023,0.4511,0.5915,0.729,0.853,0.628,0.816,0.6864,0.9023,0.4511,0.5915,0.729,0.853,0.628,0.816,2019-11-12 22:50:18
5,2019,4241820,Sam Ehlinger,QB,Texas,Big 12,0.6774,0.9971,0.2958,0.5986,0.657,0.913,0.61,0.822,0.6774,0.9971,0.2958,0.5986,0.657,0.913,0.61,0.822,2019-11-12 22:50:18
6,2019,4039910,Kaleb Barker,QB,Troy,Sun Belt,0.6644,0.9888,0.1841,0.5663,0.717,0.817,0.587,0.904,0.6644,0.9888,0.1841,0.5663,0.717,0.817,0.587,0.904,2019-11-12 22:50:18
7,2019,4240904,Kellen Mond,QB,Texas A&M,SEC,0.6635,1.0,0.2553,0.585,0.724,0.787,0.566,0.901,0.6635,1.0,0.2553,0.585,0.724,0.787,0.566,0.901,2019-11-12 22:50:18
8,2019,4361741,Brock Purdy,QB,Iowa State,Big 12,0.6586,0.9878,0.2332,0.5709,0.694,0.832,0.588,0.848,0.6586,0.9878,0.2332,0.5709,0.694,0.832,0.588,0.848,2019-11-12 22:50:18
9,2019,4046678,Ian Book,QB,Notre Dame,FBS Independents,0.6563,1.0,0.2686,0.557,0.673,0.802,0.584,0.799,0.6563,1.0,0.2686,0.557,0.673,0.802,0.584,0.799,2019-11-12 22:50:18
10,2019,3915511,Joe Burrow,QB,LSU,SEC,0.6534,0.9967,0.2026,0.6519,0.607,0.744,0.612,0.797,0.6534,0.9967,0.2026,0.6519,0.607,0.744,0.612,0.797,2019-11-12 22:50:18
11,2019,3921685,Josh Love,QB,San José State,Mountain West,0.6452,0.9776,0.0367,0.6042,0.598,0.82,0.592,0.75,0.6452,0.9776,0.0367,0.6042,0.598,0.82,0.592,0.75,2019-11-12 22:50:18
12,2019,3917793,Quentin Harris,QB,Duke,ACC,0.637,0.9744,0.2921,0.6535,0.536,0.776,0.596,0.722,0.637,0.9744,0.2921,0.6535,0.536,0.776,0.596,0.722,2019-11-12 22:50:18
13,2019,4259592,Sean Clifford,QB,Penn State,Big Ten,0.6364,0.9922,0.272,0.5153,0.679,0.835,0.558,0.806,0.6364,0.9922,0.272,0.5153,0.679,0.835,0.558,0.806,2019-11-12 22:50:18
14,2019,4036378,Jordan Love,QB,Utah State,Mountain West,0.6329,1.0,0.1612,0.548,0.686,0.752,0.524,0.873,0.6329,1.0,0.1612,0.548,0.686,0.752,0.524,0.873,2019-11-12 22:50:18
15,2019,3914382,J'Mar Smith,QB,Louisiana Tech,Conference USA,0.6313,0.9964,0.2116,0.5565,0.626,0.828,0.548,0.822,0.6313,0.9964,0.2116,0.5565,0.626,0.828,0.548,0.822,2019-11-12 22:50:18
16,2019,4241222,Charlie Brewer,QB,Baylor,Big 12,0.63,0.9892,0.2547,0.5479,0.617,0.887,0.537,0.835,0.63,0.9892,0.2547,0.5479,0.617,0.887,0.537,0.835,2019-11-12 22:50:18
17,2019,4360131,Holton Ahlers,QB,East Carolina,American Athletic,0.6262,0.9969,0.2292,0.5156,0.606,0.921,0.523,0.807,0.6262,0.9969,0.2292,0.5156,0.606,0.921,0.523,0.807,2019-11-12 22:50:18
18,2019,4036585,Caleb Evans,QB,Louisiana Monroe,Sun Belt,0.6173,0.9789,0.2911,0.5515,0.542,0.857,0.558,0.749,0.6173,0.9789,0.2911,0.5515,0.542,0.857,0.558,0.749,2019-11-12 22:50:18
19,2019,4037642,Austin Kendall,QB,West Virginia,Big 12,0.6164,0.9138,0.1307,0.5893,0.564,0.719,0.569,0.691,0.6164,0.9138,0.1307,0.5893,0.564,0.719,0.569,0.691,2019-11-12 22:50:18
20,2019,4242995,Jorge Reyna,QB,Fresno State,Mountain West,0.6122,0.9931,0.2045,0.5308,0.581,0.867,0.545,0.768,0.6122,0.9931,0.2045,0.5308,0.581,0.867,0.545,0.768,2019-11-12 22:50:18
21,2019,3929824,Brian Lewerke,QB,Michigan State,Big Ten,0.6071,0.9632,0.2068,0.5078,0.606,0.86,0.509,0.791,0.6071,0.9632,0.2068,0.5078,0.606,0.86,0.509,0.791,2019-11-12 22:50:18
22,2019,4038220,Cole McDonald,QB,Hawai'i,Mountain West,0.5949,0.8138,0.201,0.6241,0.548,0.596,0.585,0.619,0.5949,0.8138,0.201,0.6241,0.548,0.596,0.585,0.619,2019-11-12 22:50:18
23,2019,4040407,Jack Abraham,QB,Southern Mississippi,Conference USA,0.5899,0.9962,0.16,0.3906,0.704,0.85,0.465,0.834,0.5899,0.9962,0.16,0.3906,0.704,0.85,0.465,0.834,2019-11-12 22:50:18
24,2019,4240391,Tommy DeVito,QB,Syracuse,ACC,0.5896,0.9172,0.1667,0.5223,0.594,0.719,0.529,0.7,0.5896,0.9172,0.1667,0.5223,0.594,0.719,0.529,0.7,2019-11-12 22:50:18
25,2019,4244068,Dustin Crum,QB,Kent State,Mid-American,0.5852,0.9355,0.275,0.5867,0.545,0.642,0.551,0.657,0.5852,0.9355,0.275,0.5867,0.545,0.642,0.551,0.657,2019-11-12 22:50:18
26,2019,4036149,Nathan Stanley,QB,Iowa,Big Ten,0.5844,1.0,0.117,0.459,0.602,0.785,0.514,0.753,0.5844,1.0,0.117,0.459,0.602,0.785,0.514,0.753,2019-11-12 22:50:18
27,2019,4029885,Stephen Calvert,QB,Liberty,FBS Independents,0.5843,0.9759,0.0494,0.5245,0.57,0.765,0.505,0.785,0.5843,0.9759,0.0494,0.5245,0.57,0.765,0.505,0.785,2019-11-12 22:50:18
28,2019,4039073,Mason Fine,QB,North Texas,Conference USA,0.578,0.946,0.0739,0.515,0.555,0.766,0.518,0.702,0.578,0.946,0.0739,0.515,0.555,0.766,0.518,0.702,2019-11-12 22:50:18
29,2019,4362887,Justin Fields,QB,Ohio State,Big Ten,0.5777,0.9903,0.2369,0.5217,0.584,0.72,0.523,0.715,0.5777,0.9903,0.2369,0.5217,0.584,0.72,0.523,0.715,2019-11-12 22:50:18
30,2019,4360310,Trevor Lawrence,QB,Clemson,ACC,0.5776,0.9749,0.1885,0.4752,0.602,0.842,0.49,0.842,0.5776,0.9749,0.1885,0.4752,0.602,0.842,0.49,0.842,2019-11-12 22:50:18
31,2019,3915436,Steven Montez,QB,Colorado,Pac-12,0.569,0.9942,0.1076,0.4793,0.567,0.777,0.487,0.775,0.569,0.9942,0.1076,0.4793,0.567,0.777,0.487,0.775,2019-11-12 22:50:18
32,2019,4426875,Sam Howell,QB,North Carolina,ACC,0.5657,0.9875,0.1503,0.4896,0.563,0.735,0.48,0.726,0.5657,0.9875,0.1503,0.4896,0.563,0.735,0.48,0.726,2019-11-12 22:50:18
33,2019,4241399,Chris Robison,QB,Florida Atlantic,Conference USA,0.5652,0.97,0.1323,0.5069,0.55,0.722,0.482,0.709,0.5652,0.97,0.1323,0.5069,0.55,0.722,0.482,0.709,2019-11-12 22:50:18
34,2019,4259269,Chris Reynolds,QB,Charlotte,Conference USA,0.5629,0.9442,0.2648,0.4672,0.641,0.657,0.506,0.706,0.5629,0.9442,0.2648,0.4672,0.641,0.657,0.506,0.706,2019-11-12 22:50:18
35,2019,4261909,Isaiah Green,QB,Marshall,Conference USA,0.5627,0.9612,0.2007,0.4979,0.597,0.661,0.493,0.711,0.5627,0.9612,0.2007,0.4979,0.597,0.661,0.493,0.711,2019-11-12 22:50:18
36,2019,3917957,Carter Stanley,QB,Kansas,Big 12,0.5583,0.9876,0.1411,0.4727,0.5,0.835,0.491,0.693,0.5583,0.9876,0.1411,0.4727,0.5,0.835,0.491,0.693,2019-11-12 22:50:18
37,2019,3124900,Jake Luton,QB,Oregon State,Pac-12,0.558,0.9931,0.0593,0.5473,0.489,0.686,0.485,0.715,0.558,0.9931,0.0593,0.5473,0.489,0.686,0.485,0.715,2019-11-12 22:50:18
38,2019,4039210,Drew Plitt,QB,Ball State,Mid-American,0.5578,1.0,0.1438,0.4803,0.49,0.821,0.492,0.713,0.5578,1.0,0.1438,0.4803,0.49,0.821,0.492,0.713,2019-11-12 22:50:18
39,2019,4240703,Kenny Pickett,QB,Pittsburgh,ACC,0.5574,0.8973,0.1267,0.5018,0.5,0.748,0.483,0.697,0.5574,0.8973,0.1267,0.5018,0.5,0.748,0.483,0.697,2019-11-12 22:50:18
40,2019,4037213,Jamie Newman,QB,Wake Forest,ACC,0.5551,0.8398,0.2687,0.4951,0.534,0.703,0.521,0.638,0.5551,0.8398,0.2687,0.4951,0.534,0.703,0.521,0.638,2019-11-12 22:50:18
41,2019,4039034,Shane Buechele,QB,SMU,American Athletic,0.5541,0.9922,0.0934,0.4729,0.533,0.75,0.444,0.81,0.5541,0.9922,0.0934,0.4729,0.533,0.75,0.444,0.81,2019-11-12 22:50:18
42,2019,4239086,Desmond Ridder,QB,Cincinnati,American Athletic,0.553,0.9955,0.237,0.4917,0.506,0.743,0.468,0.737,0.553,0.9955,0.237,0.4917,0.506,0.743,0.468,0.737,2019-11-12 22:50:18
43,2019,4361825,Spencer Sanders,QB,Oklahoma State,Big 12,0.5528,0.9668,0.2795,0.4571,0.62,0.678,0.459,0.753,0.5528,0.9668,0.2795,0.4571,0.62,0.678,0.459,0.753,2019-11-12 22:50:18
