,series_division,poll,season,week,season_week,rank,team,team_id,conference,first_place_votes,points,is_playoff_poll,last_updated
0,FBS,Playoff Committee Rankings,2019,12,201912,1,LSU,99,SEC,0,0,1,2019-11-12 22:50:18
1,FBS,Playoff Committee Rankings,2019,12,201912,2,Ohio State,194,Big Ten,0,0,1,2019-11-12 22:50:18
2,FBS,Playoff Committee Rankings,2019,12,201912,3,Clemson,228,ACC,0,0,1,2019-11-12 22:50:18
3,FBS,Playoff Committee Rankings,2019,12,201912,4,Georgia,61,SEC,0,0,1,2019-11-12 22:50:18
4,FBS,Playoff Committee Rankings,2019,12,201912,5,Alabama,333,SEC,0,0,1,2019-11-12 22:50:18
5,FBS,Playoff Committee Rankings,2019,12,201912,6,Oregon,2483,Pac-12,0,0,1,2019-11-12 22:50:18
6,FBS,Playoff Committee Rankings,2019,12,201912,7,Utah,254,Pac-12,0,0,1,2019-11-12 22:50:18
7,FBS,Playoff Committee Rankings,2019,12,201912,8,Minnesota,135,Big Ten,0,0,1,2019-11-12 22:50:18
8,FBS,Playoff Committee Rankings,2019,12,201912,9,Penn State,213,Big Ten,0,0,1,2019-11-12 22:50:18
9,FBS,Playoff Committee Rankings,2019,12,201912,10,Oklahoma,201,Big 12,0,0,1,2019-11-12 22:50:18
10,FBS,Playoff Committee Rankings,2019,12,201912,11,Florida,57,SEC,0,0,1,2019-11-12 22:50:18
11,FBS,Playoff Committee Rankings,2019,12,201912,12,Auburn,2,SEC,0,0,1,2019-11-12 22:50:18
12,FBS,Playoff Committee Rankings,2019,12,201912,13,Baylor,239,Big 12,0,0,1,2019-11-12 22:50:18
13,FBS,Playoff Committee Rankings,2019,12,201912,14,Wisconsin,275,Big Ten,0,0,1,2019-11-12 22:50:18
14,FBS,Playoff Committee Rankings,2019,12,201912,15,Michigan,130,Big Ten,0,0,1,2019-11-12 22:50:18
15,FBS,Playoff Committee Rankings,2019,12,201912,16,Notre Dame,87,FBS Independents,0,0,1,2019-11-12 22:50:18
16,FBS,Playoff Committee Rankings,2019,12,201912,17,Cincinnati,2132,American Athletic,0,0,1,2019-11-12 22:50:18
17,FBS,Playoff Committee Rankings,2019,12,201912,18,Memphis,235,American Athletic,0,0,1,2019-11-12 22:50:18
18,FBS,Playoff Committee Rankings,2019,12,201912,19,Texas,251,Big 12,0,0,1,2019-11-12 22:50:18
19,FBS,Playoff Committee Rankings,2019,12,201912,20,Iowa,2294,Big Ten,0,0,1,2019-11-12 22:50:18
20,FBS,Playoff Committee Rankings,2019,12,201912,21,Boise State,68,Mountain West,0,0,1,2019-11-12 22:50:18
21,FBS,Playoff Committee Rankings,2019,12,201912,22,Oklahoma State,197,Big 12,0,0,1,2019-11-12 22:50:18
22,FBS,Playoff Committee Rankings,2019,12,201912,23,Navy,2426,American Athletic,0,0,1,2019-11-12 22:50:18
