,game_id,season,week,season_week,season_type,start_date,start_time_dt,start_time_str,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_team_id,home_conference,home_points,home_line_scores,away_team,away_team_id,away_conference,away_points,away_line_scores,last_updated
0,400548403,2014,1,201401,regular,2014-08-27T19:00:00.000Z,2014-08-27 14:00:00,Wed 08/27/2014 02:00PM CDT,0,0,10140.0,3495,Georgia Dome,Georgia State,2247,Sun Belt,38.0,"[7, 14, 0, 17]",Abilene Christian,2000,,37.0,"[3, 13, 14, 7]",2019-11-12 22:50:18
1,400548402,2014,1,201401,regular,2014-08-28T18:00:00.000Z,2014-08-28 13:00:00,Thu 08/28/2014 01:00PM CDT,0,1,82847.0,3994,Williams-Brice Stadium,South Carolina,2579,SEC,28.0,"[7, 7, 14, 0]",Texas A&M,245,SEC,52.0,"[10, 21, 14, 7]",2019-11-12 22:50:18
2,400547829,2014,1,201401,regular,2014-08-28T19:00:00.000Z,2014-08-28 14:00:00,Thu 08/28/2014 02:00PM CDT,0,0,21003.0,3817,Malone Stadium,Louisiana Monroe,2433,Sun Belt,17.0,"[0, 0, 10, 7]",Wake Forest,154,ACC,10.0,"[7, 3, 0, 0]",2019-11-12 22:50:18
3,400548092,2014,1,201401,regular,2014-08-28T19:00:00.000Z,2014-08-28 14:00:00,Thu 08/28/2014 02:00PM CDT,0,0,15793.0,3786,Kelly/Shorts Stadium,Central Michigan,2117,Mid-American,20.0,"[0, 7, 13, 0]",Chattanooga,236,,16.0,"[3, 13, 0, 0]",2019-11-12 22:50:18
4,400548091,2014,1,201401,regular,2014-08-28T19:00:00.000Z,2014-08-28 14:00:00,Thu 08/28/2014 02:00PM CDT,0,0,12398.0,3764,Brigham Field at Huskie Stadium,Northern Illinois,2459,Mid-American,55.0,"[17, 17, 21, 0]",Presbyterian College,2506,,3.0,"[0, 0, 3, 0]",2019-11-12 22:50:18
5,400548090,2014,1,201401,regular,2014-08-28T19:00:00.000Z,2014-08-28 14:00:00,Thu 08/28/2014 02:00PM CDT,0,0,9104.0,3768,Summa Field at InfoCision Stadium,Akron,2006,Mid-American,41.0,"[21, 0, 13, 7]",Howard,47,,0.0,"[0, 0, 0, 0]",2019-11-12 22:50:18
6,400547960,2014,1,201401,regular,2014-08-28T19:00:00.000Z,2014-08-28 14:00:00,Thu 08/28/2014 02:00PM CDT,0,0,0.0,3953,TCF Bank Stadium,Minnesota,135,Big Ten,42.0,"[7, 7, 7, 21]",Eastern Illinois,2197,,20.0,"[0, 0, 0, 20]",2019-11-12 22:50:18
7,400548256,2014,1,201401,regular,2014-08-28T19:30:00.000Z,2014-08-28 14:30:00,Thu 08/28/2014 02:30PM CDT,0,0,45925.0,587,Rice-Eccles Stadium,Utah,254,Pac-12,56.0,"[14, 21, 14, 7]",Idaho State,304,,14.0,"[7, 0, 7, 0]",2019-11-12 22:50:18
8,400548404,2014,1,201401,regular,2014-08-28T20:00:00.000Z,2014-08-28 15:00:00,Thu 08/28/2014 03:00PM CDT,0,0,13772.0,3601,Aggie Memorial Stadium,New Mexico State,166,Sun Belt,28.0,"[7, 7, 7, 7]",Cal Poly,13,,10.0,"[7, 3, 0, 0]",2019-11-12 22:50:18
9,400548169,2014,1,201401,regular,2014-08-28T20:00:00.000Z,2014-08-28 15:00:00,Thu 08/28/2014 03:00PM CDT,1,0,32823.0,3495,Georgia Dome,Ole Miss,145,SEC,35.0,"[7, 0, 0, 28]",Boise State,68,Mountain West,13.0,"[0, 3, 3, 7]",2019-11-12 22:50:18
10,400547647,2014,1,201401,regular,2014-08-28T20:00:00.000Z,2014-08-28 15:00:00,Thu 08/28/2014 03:00PM CDT,0,1,19032.0,3674,Skelly Field at H. A. Chapman Stadium,Tulsa,202,American Athletic,38.0,"[0, 14, 3, 11, 3, 7]",Tulane,2655,American Athletic,31.0,"[7, 14, 0, 7, 3, 0]",2019-11-12 22:50:18
11,400553383,2014,1,201401,regular,2014-08-28T22:00:00.000Z,2014-08-28 17:00:00,Thu 08/28/2014 05:00PM CDT,0,0,10371.0,3935,Spartan Stadium,San José State,23,Mountain West,42.0,"[14, 7, 14, 7]",North Dakota,155,,10.0,"[0, 3, 0, 7]",2019-11-12 22:50:18
12,400547993,2014,1,201401,regular,2014-08-28T22:00:00.000Z,2014-08-28 17:00:00,Thu 08/28/2014 05:00PM CDT,0,0,30927.0,3673,CenturyLink Field,Washington State,265,Pac-12,38.0,"[3, 14, 14, 7]",Rutgers,164,Big Ten,41.0,"[7, 14, 3, 17]",2019-11-12 22:50:18
13,400548255,2014,1,201401,regular,2014-08-28T22:30:00.000Z,2014-08-28 17:30:00,Thu 08/28/2014 05:30PM CDT,0,0,52133.0,3947,Sun Devil Stadium,Arizona State,9,Pac-12,45.0,"[17, 14, 14, 0]",Weber State,2692,,14.0,"[0, 0, 7, 7]",2019-11-12 22:50:18
14,400547640,2014,1,201401,regular,2014-08-28T22:50:00.000Z,2014-08-28 17:50:00,Thu 08/28/2014 05:50PM CDT,0,0,31731.0,3973,Vanderbilt Stadium,Vanderbilt,238,SEC,7.0,"[0, 7, 0, 0]",Temple,218,American Athletic,37.0,"[7, 14, 13, 3]",2019-11-12 22:50:18
15,400547641,2014,1,201401,regular,2014-08-29T19:00:00.000Z,2014-08-29 14:00:00,Fri 08/29/2014 02:00PM CDT,0,0,35150.0,3892,Rentschler Field,Connecticut,41,American Athletic,10.0,"[0, 7, 0, 3]",BYU,252,FBS Independents,35.0,"[14, 14, 0, 7]",2019-11-12 22:50:18
16,400547815,2014,1,201401,regular,2014-08-29T19:30:00.000Z,2014-08-29 14:30:00,Fri 08/29/2014 02:30PM CDT,0,0,41189.0,1964,Carrier Dome,Syracuse,183,ACC,27.0,"[7, 3, 7, 0, 3, 7]",Villanova,222,,26.0,"[0, 7, 7, 3, 3, 6]",2019-11-12 22:50:18
17,400547952,2014,1,201401,regular,2014-08-29T19:30:00.000Z,2014-08-29 14:30:00,Fri 08/29/2014 02:30PM CDT,0,0,75127.0,3936,Spartan Stadium,Michigan State,127,Big Ten,45.0,"[21, 17, 7, 0]",Jacksonville State,55,,7.0,"[0, 0, 7, 0]",2019-11-12 22:50:18
18,400548003,2014,1,201401,regular,2014-08-29T19:30:00.000Z,2014-08-29 14:30:00,Fri 08/29/2014 02:30PM CDT,0,0,17215.0,3796,Houchens Industries-L. T. Smith Stadium,Western Kentucky,98,Conference USA,59.0,"[14, 17, 14, 14]",Bowling Green,189,Mid-American,31.0,"[0, 10, 14, 7]",2019-11-12 22:50:18
19,400548171,2014,1,201401,regular,2014-08-29T21:00:00.000Z,2014-08-29 16:00:00,Fri 08/29/2014 04:00PM CDT,1,0,63363.0,3937,Sports Authority Field at Mile High,Colorado,38,Pac-12,17.0,"[7, 3, 7, 0]",Colorado State,36,Mountain West,31.0,"[0, 7, 7, 17]",2019-11-12 22:50:18
20,400547644,2014,1,201401,regular,2014-08-29T21:00:00.000Z,2014-08-29 16:00:00,Fri 08/29/2014 04:00PM CDT,0,0,40755.0,4728,John O'Quinn Field at TDECU Stadium,Houston,248,American Athletic,7.0,"[0, 0, 0, 7]",UT San Antonio,2636,Conference USA,27.0,"[7, 7, 10, 3]",2019-11-12 22:50:18
21,400548177,2014,1,201401,regular,2014-08-29T22:30:00.000Z,2014-08-29 17:30:00,Fri 08/29/2014 05:30PM CDT,0,0,50103.0,3619,Arizona Stadium,Arizona,12,Pac-12,58.0,"[14, 10, 24, 10]",UNLV,2439,Mountain West,13.0,"[0, 6, 7, 0]",2019-11-12 22:50:18
22,400547642,2014,1,201401,regular,2014-08-30T08:30:00.000Z,2014-08-30 03:30:00,Sat 08/30/2014 03:30AM CDT,1,0,53304.0,4737,Croke Park Stadium,UCF,2116,American Athletic,24.0,"[0, 3, 7, 14]",Penn State,213,Big Ten,26.0,"[7, 3, 10, 6]",2019-11-12 22:50:18
23,400548400,2014,1,201401,regular,2014-08-30T12:00:00.000Z,2014-08-30 07:00:00,Sat 08/30/2014 07:00AM CDT,0,0,50398.0,3683,Commonwealth Stadium,Kentucky,96,SEC,59.0,"[14, 21, 17, 7]",UT Martin,2630,,14.0,"[0, 0, 0, 14]",2019-11-12 22:50:18
24,400547982,2014,1,201401,regular,2014-08-30T12:00:00.000Z,2014-08-30 07:00:00,Sat 08/30/2014 07:00AM CDT,1,0,57579.0,3814,M&T Bank Stadium,Navy,2426,FBS Independents,17.0,"[0, 7, 7, 3]",Ohio State,194,Big Ten,34.0,"[3, 3, 14, 14]",2019-11-12 22:50:18
25,400547820,2014,1,201401,regular,2014-08-30T12:00:00.000Z,2014-08-30 07:00:00,Sat 08/30/2014 07:00AM CDT,0,0,44749.0,3923,Scott Stadium,Virginia,258,ACC,20.0,"[0, 10, 7, 3]",UCLA,26,Pac-12,28.0,"[0, 21, 7, 0]",2019-11-12 22:50:18
26,400547808,2014,1,201401,regular,2014-08-30T12:00:00.000Z,2014-08-30 07:00:00,Sat 08/30/2014 07:00AM CDT,0,0,40549.0,3752,Heinz Field,Pittsburgh,221,ACC,62.0,"[21, 21, 13, 7]",Delaware,48,,0.0,"[0, 0, 0, 0]",2019-11-12 22:50:18
27,400547943,2014,1,201401,regular,2014-08-30T12:00:00.000Z,2014-08-30 07:00:00,Sat 08/30/2014 07:00AM CDT,0,0,106811.0,3558,Michigan Stadium,Michigan,130,Big Ten,52.0,"[14, 21, 14, 3]",Appalachian State,2026,Sun Belt,14.0,"[0, 0, 7, 7]",2019-11-12 22:50:18
28,400547840,2014,1,201401,regular,2014-08-30T12:00:00.000Z,2014-08-30 07:00:00,Sat 08/30/2014 07:00AM CDT,0,0,54800.0,3772,Jack Trice Stadium,Iowa State,66,Big 12,14.0,"[7, 7, 0, 0]",North Dakota State,2449,,34.0,"[0, 17, 10, 7]",2019-11-12 22:50:18
29,400547904,2014,1,201401,regular,2014-08-30T12:00:00.000Z,2014-08-30 07:00:00,Sat 08/30/2014 07:00AM CDT,0,0,36234.0,3832,Memorial Stadium,Illinois,356,Big Ten,28.0,"[0, 7, 0, 21]",Youngstown State,2754,,17.0,"[3, 3, 3, 8]",2019-11-12 22:50:18
30,400547916,2014,1,201401,regular,2014-08-30T12:00:00.000Z,2014-08-30 07:00:00,Sat 08/30/2014 07:00AM CDT,0,0,38006.0,3830,Memorial Stadium,Indiana,84,Big Ten,28.0,"[14, 7, 0, 7]",Indiana State,282,,10.0,"[3, 0, 7, 0]",2019-11-12 22:50:18
31,400547928,2014,1,201401,regular,2014-08-30T12:00:00.000Z,2014-08-30 07:00:00,Sat 08/30/2014 07:00AM CDT,0,0,0.0,3793,Kinnick Stadium,Iowa,2294,Big Ten,31.0,"[7, 10, 7, 7]",Northern Iowa,2460,,23.0,"[3, 10, 7, 3]",2019-11-12 22:50:18
