,id,name,capacity,grass,city,state,zip,country_code,elevation,year_constructed,dome,x,y,last_updated
0,4747,Abbott Memorial Alumni Stadium,10000,,Tuskegee,AL,,US,122.8,1925.0,0.0,,,2019-11-12 22:50:18
1,3599,Ace W. Mumford Stadium,28500,,Baton Rouge,LA,,US,20.24213219,1928.0,0.0,30.5221461,-91.1896087,2019-11-12 22:50:18
2,3601,Aggie Memorial Stadium,30343,0.0,Las Cruces,NM,88003,US,1208.201294,1978.0,0.0,32.2796202,-106.7411148,2019-11-12 22:50:18
3,3603,Aggie Stadium,21500,,Greensboro,NC,,US,235.1224518,1981.0,0.0,36.0814337,-79.7700391,2019-11-12 22:50:18
4,3602,Aggie Stadium,10849,,Davis,CA,,US,11.3825922,2007.0,0.0,38.5365266,-121.7627936,2019-11-12 22:50:18
5,3604,Alamodome,65000,0.0,San Antonio,TX,78299,US,201.5526886,1993.0,0.0,29.4169834,-98.4788143,2019-11-12 22:50:18
6,3653,Albertsons Stadium,36387,0.0,Boise,ID,83725,US,823.2221069,1970.0,0.0,43.6028839,-116.1958882,2019-11-12 22:50:18
7,3605,Alerus Center,12283,0.0,Grand Forks,ND,,US,255.2472076,2001.0,0.0,47.910622,-97.090996,2019-11-12 22:50:18
8,1027,Alex G. Spanos Stadium,11075,,San Luis Obispo,CA,,US,84.6832428,2006.0,0.0,35.2984123,-120.6650005,2019-11-12 22:50:18
9,3607,Alfond Stadium,10000,0.0,Orono,ME,04469,US,35.4817543,1998.0,0.0,44.905128,-68.6724718,2019-11-12 22:50:18
10,3609,Allgood-Bailey Stadium,8000,,Rolla,MO,,US,336.1,1967.0,0.0,,,2019-11-12 22:50:18
11,5363,Allianz Stadium,45500,1.0,Sydney,NSW,,AU,42.8,1988.0,0.0,,,2019-11-12 22:50:18
12,3610,Aloha Stadium,50000,0.0,Honolulu,HI,96818,US,10.26500511,1975.0,0.0,21.3728014,-157.9299645,2019-11-12 22:50:18
13,3597,Alumni Memorial Field,10000,,Lexington,VA,,US,294.958252,1962.0,0.0,37.788983,-79.43505,2019-11-12 22:50:18
